,Neighborhood,Lat,Lon,avg_sale_price_sqr_foot,avg_housing_units,avg_gross_rent
56,Potrero Hill,37.73196,-122.38324,662.0136128276529,378401.0,2817.285714285714
57,Presidio Heights,37.78553,-122.456,675.3502120510033,378401.0,2817.285714285714
58,Russian Hill,37.79298,-122.43579,608.9832172374425,378401.0,2817.285714285714
59,Silver Terrace,37.73467,-122.40106,170.2925485152069,380348.0,3528.0
60,South Beach,37.78323,-122.40065,650.1244791945729,375805.0,2099.0
61,South of Market,37.79101,-122.4021,570.2714266991687,378401.0,2817.285714285714
62,Sunnyside,37.73415,-122.457,528.3183317138463,378725.5,2899.5
63,Telegraph Hill,37.80055,-122.40433,676.5065775293255,378401.0,2817.285714285714
64,Twin Peaks,37.753311,-122.447029,469.39862649935156,378401.0,2817.285714285714
65,Union Square District,37.79101,-122.4021,903.9932576720645,377427.5,2555.1666666666665
66,Van Ness/ Civic Center,37.77951,-122.42022,404.1501801622257,378401.0,2817.285714285714
67,Visitacion Valley,37.72874,-122.41098,301.46617997450267,381321.5,3657.0
68,West Portal,37.74026,-122.46388,498.48848482950103,376940.75,2515.5
69,Western Addition,37.79298,-122.43579,307.5622009799608,377427.5,2555.1666666666665
70,Westwood Highlands,37.7347,-122.456854,533.7039354359513,376454.0,2250.5
71,Westwood Park,37.73415,-122.457,687.0875745178322,382295.0,3959.0
72,Yerba Buena,37.79298,-122.39636,576.709848378276,377427.5,2555.1666666666665
